role,offset_seconds,FCV-501D_ACT,PIT-501D,PIT-516D,PIT-517D,PIT-518D,PIT-519D,PIT-521D,PIT-523D,PIT-529D,PIT-530D,PIT-532D,PIT-562D,PIT-591D,PT-502D,PT-503D,PT-525D,TE-504D,TE-506D,TE-507D-A,TE-508D,TE-509D,TE-514D-A,TE-515D-A,TE-516D,TE-517D,TE-521D,TE-522D,TE-523D,TE-524D,TE-525D,TE-526D,TE-529D,TE-530D-A,TE-531D-A,TE-532D,TE-533D,TE-534D,TE-535D,TE-536D,TE-537D,TE-538D,TE-539D,TE-540D,TE-541D,TE-542D,TE-543D,TE-544D,TE-545D,TE-546D,TE-547D,TE-548D,TE-549D,TE-550D,TIT-501D,TIT-505D,TIT-561D,VE-503D,VE-504D,VE-505D,VE-506D,VT-501D,VT-502D,XT-503D-X,XT-503D-Y,XT-504D-X,XT-504D-Y,XT-505D-X,XT-505D-Y,XT-506D-X,XT-506D-Y,XT-507D-X,XT-507D-Y,XT-508D-X,XT-508D-Y,ZT-502D-B,ZT-503D-A,ZT-503D-B,ZT-504D-B,ZY-503D
normal,6000,43.072422,40.89097,19.3931255,16.159605,1.87766171,2.05558562,0.993132234,3.15625453,4.411828,5.06403255,62.0939026,6.95755959,-0.001427865,41.4778976,20.66246,14.7966747,49.6763573,31.2381573,426.904083,699.7345,477.783447,83.0,75.0,305.299927,314.7725,69.95844,87.27385,96.34027,116.41893,109.668427,78.98,31.1021519,68.0,68.0,52.1031876,52.4803963,50.7994537,52.5156937,52.4639053,52.0,53.53594,53.60559,53.0,78.0,78.0,82.0,81.0,82.0,82.0,84.0,86.0,84.0,86.0,61.76728,95.02759,63.49806,0.8720404,1.45340061,2.033214,7.919234,71.2465744,5.166347,36.7420235,69.18187,34.31942,44.79349,23.331871,13.5263424,13.710413,11.9566164,8.507185,9.902424,7.325166,10.5032158,0,29.207098,29.9286156,0.057553697,29.3453922
normal,6600,45.55901,40.685463,20.91627,17.34929,2.029217,2.215605,0.99237,3.335414,4.497383,5.105534,62.23859,6.93186,-0.001309203,41.2240829,22.10894,15.7025833,50.67112,31.1880627,437.4879,725.0534,483.333771,84.0,75.0,307.894836,315.003632,69.9891357,87.46355,96.73499,116.849205,110.484787,79.0126,31.2320061,68.0,68.0,52.59976,52.98418,51.0,53.0519371,52.95662,52.7998276,54.0619965,54.1046066,53.2001724,78.0,78.79983,83.0,81.0,83.0,82.0,85.0,87.0,84.0,87.0,61.7250137,95.96366,63.8021622,0.968933761,1.550294,2.201839,5.9654274,69.79182,5.12732172,37.1296,69.81163,34.0968132,44.74543,21.8785076,12.8189764,13.3034859,11.9663324,8.46847248,9.311462,6.976323,10.212553,0,26.5359631,26.9051933,0.06129672,26.6020222
normal,7200,47.1177,40.7588043,21.9147854,18.14168,2.117837,2.31609726,0.9918723,3.457654,4.501047,5.066652,62.2693825,6.93041325,-0.001377643,41.2132339,23.19171,16.29284,50.38125,31.1041355,444.9088,740.7981,487.838,85.0,75.0,312.206818,314.155273,70.0755,88.2263641,97.19363,117.873566,111.191307,79.18566,31.245554,68.0,68.0,53.89506,54.3758049,52.0,54.297718,54.26618,54.0,55.37783,55.4359436,55.0,78.0,79.0,84.0,82.0,83.0,83.0,85.0,87.0,85.0,87.8008,61.5322533,98.1693344,62.89498,0.968933761,1.550294,2.28123641,6.57421732,81.23525,5.127122,36.85828,69.78292,33.79668,44.6682358,21.1712036,12.5283909,12.8090324,11.8790894,8.342481,9.146774,6.830983,9.902426,0,24.0971355,24.8673973,0.065853976,24.2324963
normal,7800,45.43209,40.7514839,20.8765678,17.34342,2.02680159,2.22387981,0.992420137,3.34289169,4.452182,5.06287,62.18089,6.954986,-0.001277685,41.295372,22.1290474,15.7273092,50.1236954,30.790575,437.11377,724.2357,484.004761,84.0,75.0,314.654327,315.301422,70.10758,87.9563751,97.0707245,117.6284,111.637833,79.4398346,31.17157,68.0,67.0,54.7944,55.2580147,53.0,55.2690353,55.14956,55.0,56.2694931,56.31578,56.0,78.0,79.0,83.0,81.0,83.0,83.0,85.0,87.0,84.0,87.0,61.6162453,99.5129547,61.8283424,0.968933761,1.45340061,2.42983675,6.01199245,74.8461,4.99121141,35.8817177,68.53397,32.76143,43.8746147,22.1499882,12.7028828,13.35982,11.9950771,8.429724,9.30176449,7.053515,10.2600393,0,26.4882584,26.8095245,0.06450973,26.4871063
normal,8400,45.5935249,40.7537651,20.9932537,17.43832,2.04457617,2.242823,0.9922836,3.36043549,4.47501945,5.13419867,62.25046,6.95592976,-0.001290792,41.2613029,22.2004166,15.8044672,49.2634468,30.9920368,437.818268,726.1085,484.817841,84.0,75.0,318.4583,315.1506,70.11846,88.07753,97.04474,117.918747,112.132278,79.43813,31.2474,68.0,67.0,55.7345276,56.1998863,53.8004265,56.18142,56.09338,56.0,57.30364,57.3152351,57.0,78.0,79.0,84.0,82.0,83.0,83.0,85.0,87.0,84.80042,87.0,60.7860336,100.443054,64.0111,0.968933761,1.45340061,2.37879324,7.12616873,77.52489,5.185801,36.00556,68.6685,32.48829,43.46635,22.1982517,12.7027006,13.1578522,11.9662294,8.458833,9.33077049,6.9375453,10.2999105,0,26.4475651,26.8307648,0.067821465,26.4566441
normal,9000,45.4933624,40.7563438,20.9023781,17.3724518,2.03812313,2.224318,0.9923949,3.34714842,4.50683737,5.06015825,62.1841125,6.96000242,-0.001260313,41.26609,22.16468,15.7431068,48.80296,30.9973755,437.478943,724.8448,484.218658,84.0,75.0,317.423462,316.4591,70.05844,87.90797,97.06335,117.603569,111.784538,79.46763,31.7190437,68.0,68.0,55.3637962,55.8450966,53.0,55.9311752,55.8015976,55.0,56.99758,57.0560265,57.0,78.0,79.0,83.0,82.0,83.0,83.0,85.0,87.0,85.0,87.0,59.9178848,99.91226,62.92374,0.8918282,1.45340061,2.14619875,7.258327,73.19817,4.854005,35.6932678,67.83117,31.9836864,42.91387,22.4308167,12.7414789,13.3702631,11.9079914,8.47817,9.43721,6.986217,10.06804,0,26.2803459,26.7068272,0.06484216,26.3172588
normal,9600,44.8398323,40.8726578,20.5528316,17.0942631,2.00022554,2.18467355,0.992454,3.30487585,4.49167871,5.077046,62.18399,6.96981859,-0.001331471,41.3987923,21.8013573,15.54797,47.95424,31.0857887,434.697235,719.062439,482.5038,84.0,75.0,317.288025,317.648438,70.02876,87.51011,96.8014,117.362587,111.208321,79.1798248,32.21078,68.0,68.0,55.5487976,55.9777145,53.7970123,56.08357,55.9483032,56.0,57.0996246,57.1539955,56.2029877,78.0,79.0,83.0,81.0,83.0,83.0,85.0,87.0,84.79701,87.0,59.7548752,99.79642,62.83039,0.891708553,1.45340061,2.33301425,6.279187,79.81064,5.24403858,35.8049965,68.6777344,32.1580429,43.0978851,22.58599,12.7611475,13.7188,12.0625019,8.429724,9.592444,7.121663,10.251029,0,26.943079,27.2120571,0.055445623,26.8107471
normal,10200,47.1165428,40.626442,21.869236,18.11935,2.12478113,2.31919146,0.9917745,3.460335,4.47962141,5.148957,62.3325424,6.938163,-0.001262513,41.1195526,23.1734028,16.299202,49.2846756,30.70017,444.3269,739.9186,487.954071,85.0,75.0,318.466644,316.882263,70.03573,87.89375,97.18821,118.06691,111.755386,79.39278,32.1771774,68.0,68.0,55.9877739,56.46984,54.0,56.5197029,56.3796425,56.0,57.5912857,57.6493874,57.0,79.0,79.0,84.0,82.0,84.0,84.0,85.0,88.0,85.0,88.0,60.32299,99.87177,63.09054,0.968933761,1.47262025,2.287907,5.77621269,83.24062,5.03019762,36.37346,68.8135147,32.7411461,43.93233,22.0052013,12.4992456,13.0313635,11.8786516,8.342441,9.146814,6.75330925,9.941579,0,24.00247,24.77995,0.07442948,24.0783329
normal,10800,47.2558556,40.6351433,21.9980354,18.2402859,2.14717937,2.34324527,0.9918357,3.48093843,4.429873,5.16197348,62.3464928,6.931302,-0.001317014,41.09481,23.3117828,16.3979149,48.9326172,30.14045,444.72345,741.3241,488.15097,85.0,75.0,321.602081,315.83548,70.1105957,88.2019348,97.26382,118.454018,112.089012,79.4733047,32.33312,68.0,68.0,57.32623,57.87476,55.0,57.82314,57.7657166,57.20096,58.9219131,58.968338,58.79904,79.0,79.0,84.0,82.0,84.0,84.0,85.0,88.0,85.0,88.0,59.963398,101.158646,64.42658,1.04635549,1.550294,2.304882,5.86085749,79.53022,5.088458,36.8194847,69.6468658,32.27523,43.45668,21.8105125,12.4410629,13.58408,12.1309118,8.34256649,9.146688,6.81151152,10.0187283,0,23.8256378,24.55498,0.07546836,23.9656239
normal,11400,47.0973778,40.6425171,21.8938541,18.16375,2.13827419,2.33586,0.991764,3.471886,4.563508,5.125422,62.30603,6.93537331,-0.001267787,41.1525345,23.1353664,16.3694324,49.13973,30.3301716,444.2985,740.195251,488.072357,85.0,75.0,322.165436,316.211975,70.09514,88.38545,97.3409958,118.434807,112.175308,79.4652557,32.387886,68.0,68.0,57.9065475,58.46517,56.0,58.4558945,58.3409348,58.0,59.5609627,59.61146,59.0,79.0,79.0,84.0,82.0,84.0,84.0,85.0,88.0,85.0,88.0,60.14106,101.812225,63.6694374,0.968933761,1.550294,2.30408788,5.77696,79.22978,5.088318,37.17829,70.09327,32.1004753,43.26266,22.1789169,12.4895792,13.5458574,12.1699009,8.458838,9.292214,6.77287054,10.0382462,0,23.9964523,24.6785622,0.07119053,24.14074
