role,offset_seconds,FIT-001AB_SOMA,FIT-304AB_SOMA,FIT_SOMAGAS,LIT-001A,LIT-001B,LIT-004,LIT-007A,LIT-007B,LIT-008,MIT-001,PDIT-009A,PDIT-009B,PDIT-012A,PDIT-012B,PDIT-054,PDIT-055,PDIT-056,PIT-037,PIT-038,TIT-010,TIT-034,TIT-035,TIT-036,TIT-040,TIT-041,TIT-042,TIT-043,TIT-044,TIT-045
normal,4500,996.0526,26935.9336,5769606.905,28.6668739,29.0354786,-0.5958592,14.9896441,52.7351646,44.80946,0.4330597,0.7257004,16.5395718,8.634437,6.50867367,12.26103,0.0,31.4838333,7699.25537,7806.969,34.0654,33.7561531,229.558792,34.1944847,33.65884,193.376465,33.78125,34.1773949,232.4439,34.3819351
normal,4800,995.275635,26935.9336,5769606.905,32.0696526,29.4865665,-0.947970152,15.1720619,51.8792953,45.063427,0.430709839,0.7257004,16.259407,8.584563,6.298815,11.72205,0.0,30.9028931,7688.61865,7794.64453,34.0440178,34.0423851,229.558792,34.1944847,33.65884,198.690826,33.71416,34.1418953,232.571823,34.3819351
normal,5100,1000.02826,26935.9336,5769606.905,30.4501171,28.53201,-0.6643982,15.0428276,52.76892,44.4753876,0.430709839,0.7383423,16.3262768,8.55345,6.64095545,12.12018,0.0,31.355423,7697.28027,7787.348,34.0428,34.0423851,229.93013,34.1247063,33.69995,202.137,33.71416,34.1418953,232.5791,34.3625
normal,5400,991.2504,26935.9336,5769606.905,31.4374046,29.1353645,0.161480278,15.2167425,52.71998,44.18679,0.4316101,0.7383423,16.3099689,8.441074,6.37794828,12.2724028,0.0,31.1055527,7689.43457,7794.748,34.0314865,33.9707031,229.93013,34.1247063,33.69995,204.626083,33.62671,34.1301765,232.495621,34.3625
normal,5700,996.512939,26935.9336,5769606.905,34.5481758,31.0732231,-0.439391673,15.5491991,53.8418655,44.6875763,0.438163757,0.6955719,16.5305824,8.526004,6.38762951,12.3908014,0.0,31.1161823,7700.01,7806.65625,34.030838,33.9707031,229.984772,34.3786125,33.63926,207.17012,33.62671,34.1301765,232.490829,34.33203
normal,6000,998.921265,26935.9336,5769606.905,33.7204628,31.0709114,-0.509904742,15.45556,53.03305,45.214756,0.437149048,0.6955719,16.48819,8.450514,6.352051,11.9607782,0.0,30.8537025,7694.38,7800.98,33.9207878,33.88374,229.984772,34.3786125,33.63926,208.8942,34.06831,34.10967,232.3699,34.33203
normal,6300,990.1221,26935.9336,5769606.905,33.0208778,29.8986244,-0.30292,15.1365347,53.3530426,44.70432,0.433677673,0.678062439,16.3662262,8.294245,6.358987,11.7850485,0.0,30.8440456,7686.942,7792.56836,33.9145355,33.88374,229.818848,34.0741234,33.56587,210.583252,33.2334,34.10967,232.363037,34.26138
normal,6600,995.7402,26935.9336,5769606.905,32.68713,29.7689838,-0.7818326,15.2553568,52.836422,44.2456741,0.432220459,0.678062439,16.3822,8.538891,6.584739,12.0519743,0.0,30.988821,7692.882,7798.653,33.9963646,33.8627434,229.818848,34.0741234,33.56587,212.64473,33.1981468,34.0444336,232.363037,34.26138
normal,6900,998.9525,26935.9336,5769606.905,31.4334126,29.5001659,-0.460393161,15.1257248,52.6242142,44.3063927,0.427573621,0.7197113,16.36795,8.485865,6.29449,12.2765818,0.0,31.101965,7699.90137,7806.5166,34.0011,33.8627434,230.138184,34.0768547,33.6256828,213.590683,33.1981468,34.0444336,232.5377,34.2627449
normal,7200,992.8599,26935.9336,5769606.905,33.55778,30.0567665,-0.60543865,15.4707384,52.76014,44.93689,0.435470581,0.7197113,16.4806671,8.578782,6.46268129,12.3550253,0.0,31.0102348,7699.103,7805.05225,33.93035,33.9190941,230.138184,34.0768547,33.6256828,214.494583,34.030468,34.04536,232.5377,34.2627449
normal,7500,996.7151,26935.9336,5769606.905,31.1030312,29.44641,-1.15819931,15.5615835,52.3901558,44.8907852,0.432846069,0.7042618,16.4683571,8.408243,6.329619,12.1137981,0.0,31.2618656,7696.89355,7803.07568,33.9263763,33.9190941,230.078125,34.0969238,33.57661,215.388138,34.030468,34.04536,232.500046,34.26709
normal,7800,981.8076,26935.9336,5769606.905,30.8858242,28.8336811,-0.957758844,15.2796507,53.07493,44.65743,0.429709435,0.7042618,16.4845219,8.46519,6.223702,11.9668388,0.0,31.1267128,7696.362,7803.535,33.948288,33.871582,230.078125,34.0969238,33.57661,216.284912,33.51016,34.0636253,232.396332,34.26709
normal,8100,994.747131,26935.9336,5769606.905,32.5529327,29.1790848,-0.233449757,15.1884966,51.9068,45.06241,0.4297676,0.7201004,16.0199833,8.249893,6.213666,10.9705544,0.0,30.4107285,7676.63135,7781.286,33.9495239,33.871582,206.959854,34.11631,33.63091,217.135361,33.51016,34.0636253,126.606476,34.23877
normal,8400,1003.64551,26935.9336,5769606.905,33.5713921,29.744669,-0.8102978,15.12043,52.5353928,45.01054,0.435096741,0.7201004,15.8026428,8.385812,6.109474,11.1144819,0.0,29.9659386,7682.94238,7787.181,33.99801,33.85664,118.508926,34.11631,33.63091,217.18364,33.63467,34.0431175,67.4976044,34.23877
normal,8700,984.345154,26935.9336,5769606.905,32.174572,29.95355,-0.8418344,15.3776121,52.68671,45.022953,0.431645125,0.715072632,16.0214176,8.439645,6.21646643,10.9473934,0.0,30.0235214,7690.583,7793.80225,34.00078,33.85664,68.85253,34.1002922,33.6349144,217.317734,33.63467,34.0431175,48.3528671,34.0439949
normal,9000,987.6127,26935.9336,5769606.905,32.68733,30.1976357,-1.64893949,15.3136539,52.820446,45.12504,0.432085544,0.715072632,16.1436882,8.368088,6.161165,11.2488546,0.0,30.1973133,7698.031,7800.505,33.9593773,33.8643074,47.899025,34.1002922,33.6349144,217.3254,33.55801,34.06714,39.4078979,34.0439949
normal,9300,996.513245,26935.9336,5769606.905,30.9246941,28.5934029,-2.37252879,15.1639614,52.121624,44.5094948,0.432365417,0.7225418,16.0791168,8.208439,6.16741276,11.11233,0.0,30.2965069,7689.773,7794.18,33.957016,33.8643074,41.5712852,34.0935059,33.5517578,217.3254,33.55801,34.06714,38.5455246,34.2291031
normal,9600,999.137146,26935.9336,5769606.905,33.87969,29.4378071,-1.6416229,15.5599,52.73089,44.8210526,0.4314499,0.7225418,15.93235,8.392807,6.236496,10.661665,0.0,29.95217,7687.61865,7790.852,33.91794,33.8741226,39.92798,34.0935059,33.5517578,210.755783,33.6193848,34.0155754,38.4991226,34.2291031
normal,9900,996.008545,26935.9336,5769606.905,32.1556473,29.64341,-2.442893,15.40924,52.86599,44.69049,0.437362671,0.7467804,15.8839073,8.179034,6.287366,10.7367058,0.0,30.1087151,7686.88037,7789.054,33.91568,33.8741226,39.0717278,34.0956078,33.58633,174.034592,33.6193848,34.0155754,38.3036079,34.2406731
normal,10200,992.2481,26935.9336,5769606.905,32.0032425,29.21411,-2.19257975,15.4493093,52.8719368,43.70791,0.4372543,0.7467804,16.0401955,8.278271,6.24360657,11.1523333,0.0,30.3078327,7695.79053,7799.98535,33.8732452,33.7166023,39.0717278,34.0956078,33.58633,114.360878,33.56782,33.98179,38.29243,34.2406731
normal,10500,994.2526,26935.9336,5769606.905,30.8237667,29.74273,-2.45345473,15.6484518,53.057415,45.0196,0.435874939,0.7077408,16.3022747,8.13521,6.18947554,11.516633,0.0,30.5916,7704.59961,7808.60547,33.8708649,33.7166023,38.24717,34.0569344,33.5430679,63.6067162,33.56782,33.98179,37.4353523,34.2273941
normal,10800,984.892761,26935.9336,5769606.905,30.4094524,28.5804768,-2.20056939,15.3240376,52.92421,44.88108,0.426903039,0.7077408,16.33844,8.489419,6.365954,11.6683664,0.0,30.8795547,7694.828,7799.801,33.78996,33.9349632,38.24717,34.0569344,33.5430679,49.9340668,33.70039,34.0293961,37.4353523,34.2273941
normal,11100,1000.33484,26935.9336,5769606.905,31.54405,30.18589,-2.355288,15.42318,51.9662971,44.9145546,0.431854248,0.7182541,16.2498455,8.400352,6.24480247,12.1428308,0.0,31.0687447,7692.189,7797.30371,33.78543,33.9349632,38.0248528,33.9661636,33.3670921,46.16348,33.70039,34.0293961,37.4772453,34.1141624
normal,11400,996.232,26935.9336,5769606.905,32.5118065,30.3996773,-2.39081073,15.6010513,52.8922844,45.2807274,0.431854248,0.7182541,16.3894,8.576637,6.30752039,12.5516205,0.0,31.18238,7699.76367,7805.411,33.86566,33.6768074,38.0248528,33.9661636,33.3670921,44.4385262,33.411377,33.8727074,37.4772453,34.1141624
normal,11700,996.7175,26935.9336,5769606.905,31.04128,29.8046074,-2.44387,15.3129692,52.42095,44.6217,0.435119629,0.7403717,16.3561668,8.394473,6.21188259,12.4038553,0.0,31.4957771,7692.734,7798.54736,33.8702927,33.6768074,37.20703,33.97671,33.4993668,42.7931633,33.411377,33.8727074,37.3047867,34.08955
normal,12000,996.839844,26935.9336,5769606.905,31.4492512,29.7224045,-2.40640044,15.2957726,53.25608,44.5438156,0.435462952,0.7403717,16.30297,8.365657,6.341903,12.5385418,0.0,31.3288422,7690.39355,7796.1333,34.14267,33.8085,37.20703,33.97671,33.4993668,41.88335,33.75083,33.9318848,37.3047867,34.08955
normal,12300,985.4955,26935.9336,5769606.905,32.0486679,30.7026348,-2.16850853,15.3747168,53.9884567,45.29985,0.435462952,0.7435684,16.3082,8.380665,6.25683355,12.3473139,0.0,31.1778011,7692.47168,7798.10938,34.1427155,33.8085,37.4126968,34.01958,33.6171379,41.88335,33.75083,33.9318848,37.27534,34.1944351
normal,12600,987.994751,26935.9336,5769606.905,34.3157043,31.9785347,-2.15211654,15.5635843,54.0209961,45.5210037,0.4355774,0.7435684,16.3521748,8.31781,6.11738539,12.4575415,0.0,31.0915451,7696.621,7801.655,34.1427155,33.6525879,37.4126968,34.01958,33.6171379,40.952198,33.65093,34.00967,37.27534,34.1944351
normal,12900,991.662048,26935.9336,5769606.905,32.68308,30.8799686,-2.27551746,15.4394283,54.5389137,45.5241661,0.4345398,0.7344055,16.50399,8.363968,6.18322754,12.2102194,0.0,31.408226,7693.46,7814.585,33.958313,33.6525879,37.37334,34.13745,33.6305656,39.9515648,33.65093,34.00967,37.2809563,34.39097
normal,13200,988.348267,26935.9336,5769606.905,30.0493031,28.3104076,-1.87936759,15.3587475,52.0452,44.4181976,0.4402237,0.7344055,16.3746033,8.697249,6.51718,12.5441074,0.0,31.6061382,7691.896,7797.40674,33.958313,33.93711,37.37334,34.13745,33.6305656,39.9515648,33.67578,33.9335938,37.2809563,34.39097
normal,13500,989.797363,26935.9336,5769606.905,31.5689049,30.1961517,-2.39263535,15.6654463,53.3925972,44.3673973,0.432372749,0.7531662,16.4976368,8.515265,6.358882,12.8017988,0.0,31.5157185,7699.27734,7806.30566,34.0138245,33.93711,37.32549,34.096096,33.6703148,39.7667961,33.67578,33.9335938,37.2149925,34.24336
normal,13800,990.225159,26935.9336,5769606.905,32.88948,29.74686,-2.19613481,15.4239874,52.4975052,45.2927055,0.438079834,0.7531662,16.3255424,8.385915,6.15407467,12.3328409,0.0,31.3680153,7688.32471,7793.662,34.0138245,33.89082,37.32549,34.096096,33.6703148,39.7667961,33.65127,34.03081,37.2149925,34.24336
normal,14100,995.449646,26935.9336,5769606.905,33.7323647,30.6380653,-0.892999649,15.8730526,53.5037537,45.0189323,0.441406965,0.716064453,16.3301678,8.581222,6.479997,12.7746658,0.0,31.3795643,7694.26465,7799.544,34.0198822,33.89082,37.1835938,34.10967,33.6282234,39.37739,33.65127,34.03081,37.1868668,34.24175
normal,14400,990.1393,26935.9336,5769606.905,32.3572273,31.6203766,-2.38686752,15.6854753,53.3932343,45.5930367,0.4385742,0.716064453,16.3634186,8.399411,6.04895353,12.4479151,0.0,31.38285,7697.655,7803.109,34.0198822,33.8541527,37.1835938,34.10967,33.6282234,39.37739,33.5940437,33.95962,37.1868668,34.24175
normal,14700,989.01825,26935.9336,5769606.905,31.8752956,30.57951,-2.41072774,15.3791351,52.76445,44.90109,0.436882019,0.722061157,16.340538,8.397443,6.309801,12.4118719,0.0,31.389986,7690.074,7796.27441,33.9665222,33.8541527,37.1681633,34.1688,33.6695824,39.05215,33.5940437,33.95962,37.16875,34.26714
normal,15000,993.3985,26935.9336,5769606.905,30.96852,30.0873337,-0.997535765,15.4747305,54.25477,44.8292732,0.432868958,0.722061157,16.3419113,8.406275,6.1422677,12.4346457,0.0,31.2615337,7688.18,7796.812,33.9665222,33.876564,37.1681633,34.1688,33.6695824,39.05215,33.3152351,34.02593,37.16875,34.26714
normal,15300,991.1866,26935.9336,5769606.905,32.2747,30.3179836,-2.43999434,15.4980249,53.46149,44.79014,0.432472348,0.741996765,16.4777622,8.484577,6.188347,12.8731966,0.0,31.6505585,7692.94043,7798.957,34.0831146,33.876564,37.173584,34.09751,33.7378426,41.50735,33.3152351,34.02593,36.8619156,34.2645531
normal,15600,984.2143,26935.9336,5769606.905,32.5917168,30.0468941,-1.95023751,15.2892895,52.9080544,44.2512665,0.429525971,0.741996765,16.6973343,7.46676,5.37753439,10.3810873,25.70166,0.0,7703.461,7809.641,34.0831146,33.88882,37.173584,38.04079,33.7378426,33.87031,34.56367,34.07334,36.8619156,59.2208443
normal,15900,993.450867,26935.9336,5769606.905,32.0251541,30.2049026,-2.29832268,15.395093,53.2437859,44.7266655,0.4296856,0.736206055,16.3782024,7.274973,5.28451538,9.436005,25.0812778,0.0,7678.95264,7782.453,34.1230469,33.88882,34.93086,57.35344,33.7593765,33.87031,33.6260757,34.07334,35.8251,66.06289
normal,16200,996.2616,26935.9336,5769606.905,32.90708,30.5897579,-2.41072488,15.6935091,53.2863922,45.40847,0.4381858,0.736206055,16.3715115,7.423343,5.235779,12.8003254,22.0225658,0.0,7690.399,7797.7085,34.1230469,34.13745,34.1009979,61.68887,33.7593765,33.7624,34.4377937,34.07295,34.737648,66.8851547
normal,16500,988.658752,26935.9336,5769606.905,30.6649837,29.6847038,-2.42502618,15.2414141,52.60794,44.9218369,0.4273821,0.7593918,16.523632,7.47498655,5.296742,13.4335966,22.87843,0.0,7699.648,7808.49268,33.939682,34.13745,34.0540047,64.05312,33.6401863,33.7624,34.4377937,34.07295,34.737648,70.92913
normal,16800,992.5117,26935.9336,5769606.905,34.5698433,31.40826,-0.311661452,15.7129774,53.60243,45.57851,0.4322052,0.7593918,16.49677,7.82336235,5.811365,13.5904989,22.57502,0.0,7692.78174,7800.985,33.939682,33.85088,34.1185722,69.25799,33.6401863,33.6060066,36.6238823,34.00181,34.7289543,78.2431
normal,17100,992.1894,26935.9336,5769606.905,31.83841,30.3616943,5.37705564,15.6204481,53.4188652,45.5954,0.432495117,0.745727539,16.6636887,8.267702,5.89860964,14.5069942,23.3166771,0.0,7703.144,7813.492,33.98221,33.85088,34.1222649,78.32581,33.57661,33.6060066,41.6448555,34.00181,34.7289543,89.2159653
normal,17400,993.638245,26935.9336,5769606.905,30.04279,29.8395176,16.1769676,15.3600035,52.72454,45.60609,0.435508728,0.745727539,16.463007,8.432361,5.92772341,14.2046471,23.612175,0.0,7690.853,7799.49268,33.98221,33.8817863,34.1057243,88.64683,33.57661,33.62793,47.5557976,34.0777359,34.54961,98.51027
normal,17700,994.9117,26935.9336,5769606.905,31.6754322,30.3299046,21.2723351,15.5748777,52.1623955,45.6271935,0.436978221,0.7367721,16.653944,8.319871,6.11329746,14.9333649,23.8593674,0.0,7692.90771,7804.71045,34.249527,33.8817863,34.1047859,97.7817459,33.697216,33.62793,51.064846,34.0777359,34.54961,107.842728
normal,18000,1004.20374,26935.9336,5769606.905,33.13374,31.468359,25.0420685,15.3552465,52.30904,45.70706,0.444988132,0.73625946,16.808939,8.327946,5.98926544,14.7247267,24.1505089,0.0,7692.83545,7803.68,34.249527,33.9202156,34.090416,107.256775,33.697216,33.76172,54.40625,34.07632,34.5482445,116.293182
normal,18300,996.825439,26935.9336,5769606.905,33.0051765,30.35164,27.90607,15.3786287,52.1968,45.0384064,0.434089661,0.733697653,16.5687542,8.401963,6.04917765,14.7063074,24.0672474,0.0,7691.26465,7801.74463,34.2132263,33.9202156,34.0896,114.127914,33.7049332,33.76172,59.3603477,34.07632,34.5482445,119.685059
normal,18600,994.9927,26935.9336,5769606.905,30.7394371,29.3996773,28.2832527,15.2546272,53.1445847,45.1464157,0.434089661,0.733551,16.6984215,8.535776,6.19775629,14.9590673,24.9270153,0.0,7698.21631,7809.60742,34.2132263,33.9894066,34.09131,117.430916,33.7049332,33.82388,65.37433,34.086132,34.5765648,121.440918
normal,18900,1008.55048,26935.9336,5769606.905,31.33371,29.58331,28.9893665,15.4400034,52.5687065,43.87968,0.442929357,0.7359876,16.6718731,8.356382,6.03473568,14.8081408,24.5519543,0.0,7687.994,7799.05127,34.1093,33.9894066,34.0914078,118.301369,33.759716,33.82388,73.94451,34.086132,34.5765648,121.440918
normal,19200,1005.40247,26935.9336,5769606.905,32.7724,30.7555923,26.4771061,15.5453444,52.19866,43.84909,0.431810975,0.736122131,16.4933968,8.448788,6.24620152,14.71477,24.49953,0.0,7694.80273,7805.62549,34.1093,33.9610863,34.0264931,119.258987,33.759716,33.847168,83.37884,34.0714378,34.47339,121.663918
normal,19500,1009.29156,26935.9336,5769606.905,33.00517,31.2792377,20.3510532,15.7700043,53.6839523,44.5785522,0.4314056,0.7304799,16.4911461,8.182932,5.897462,14.522583,24.393261,0.0,7689.9834,7816.33643,33.98552,33.9610863,34.0227547,119.258987,33.6782227,33.847168,91.0413742,34.0714378,34.47339,121.663918
normal,19800,990.3785,26935.9336,5769606.905,32.67024,30.49365,10.97234,15.4645548,52.8294373,44.92338,0.46155563,0.7301636,16.3369541,8.137079,6.17045641,14.9099274,24.9497337,0.0,7690.708,7801.13867,33.98552,33.88882,33.9722252,119.113914,33.6782227,33.6126,95.9633,33.96699,34.3528824,121.400833
normal,20100,977.968,26935.9336,5769606.905,32.19031,29.81097,3.2010622,15.46305,53.5264854,45.3042145,0.449723363,0.7344513,16.44542,8.336336,6.00601625,15.2199821,25.3157158,0.0,7695.402,7806.94336,33.90753,33.88882,33.9693871,119.113914,33.60088,33.6126,98.55796,33.96699,34.3528824,121.400833
normal,20400,986.8267,26935.9336,5769606.905,31.579731,30.4858818,-0.5886221,15.4829988,53.3212662,44.51827,0.469376773,0.7344513,16.4341354,8.217073,6.046562,15.208333,25.8671074,0.0,7675.47754,7782.81152,33.670063,33.84673,33.8945847,119.079491,33.60088,33.59844,99.37595,33.9326172,34.31084,121.062988
normal,20700,994.4225,26935.9336,5769606.905,31.63915,30.3611183,-1.16971791,15.740531,53.24925,45.4268074,0.467309654,0.7386627,16.27308,8.070753,5.93006039,15.45661,25.9905243,0.0,7687.542,7798.288,33.91571,33.84673,33.89038,119.079491,33.45474,33.59844,100.286186,33.9326172,34.31084,121.062988
normal,21000,997.9475,26935.9336,5769606.905,33.1840248,31.5378075,-0.769274533,15.6892042,53.7704735,45.43165,0.4789755,0.7386627,16.4700451,8.207661,5.91690969,15.537509,26.08991,0.0,7698.206,7810.27051,33.91571,33.7616234,33.8045,118.944778,33.45474,33.4766121,100.334373,33.8793,34.10542,120.669632
normal,21300,987.589355,26935.9336,5769606.905,32.64455,31.1467648,-1.73957646,15.684803,53.46887,45.392765,0.464932323,0.7335129,16.3374557,8.310949,5.981781,15.6380615,26.33499,0.0,7689.42334,7800.243,33.9337769,33.7616234,33.7998047,119.778954,33.46885,33.4766121,100.814491,33.8793,34.10542,124.811432
normal,21600,994.051,26935.9336,5769606.905,32.89093,30.40091,0.1699364,15.3495388,53.0767632,44.216198,0.471416742,0.7335129,16.264164,8.479978,6.160536,16.1819611,27.1271439,0.0,7692.56934,7804.612,33.9337769,33.7635269,33.86193,124.6828,33.46885,33.4917,100.840721,33.9993172,34.09048,132.253845
normal,21900,991.0061,26935.9336,5769606.905,33.00727,30.7819576,0.107737675,15.6898623,53.001442,44.3947525,0.463238031,0.738633633,16.5238476,8.398344,6.14948368,16.2293644,27.6917248,0.0,7697.15674,7810.08,33.87789,33.7635269,33.8653336,131.585617,33.564064,33.4917,101.7022,33.9993172,34.09048,139.970139
normal,22200,993.2186,26935.9336,5769606.905,32.97631,31.0609627,-0.3538528,15.5332432,53.1021042,45.2466469,0.474026,0.7389145,16.2736053,8.446872,6.016987,16.3965435,27.9386883,0.0,7688.802,7801.32227,33.87789,33.8614273,33.8645477,139.014084,33.564064,33.5121574,101.7022,33.9167,34.1413574,147.689056
normal,22500,982.880249,26935.9336,5769606.905,33.69533,30.07222,0.351173252,15.5125875,52.7441,44.66757,0.464242578,0.7427368,16.3147488,8.494823,6.3298893,16.72235,28.1138821,0.0,7693.732,7806.25439,34.0432434,33.8614273,33.864502,147.237579,33.61328,33.5121574,101.800781,33.9167,34.1413574,157.526
normal,22800,986.4407,26935.9336,5769606.905,31.9162064,30.5443764,-0.9183858,15.730113,53.4418755,45.5120964,0.465283453,0.7427368,16.4980659,8.504151,6.18140268,16.9122486,28.081255,0.0,7697.819,7811.341,34.0432434,33.8669434,33.8149147,157.199768,33.61328,33.6188,103.690819,33.95127,34.196682,165.8251
normal,23100,990.182861,26935.9336,5769606.905,31.6856251,30.14653,2.153875,15.8528852,54.54321,44.6705055,0.4616928,0.7480316,16.5501957,8.572007,6.343364,16.7011757,28.1515656,0.0,7695.681,7809.55762,33.96924,33.8669434,33.81216,164.639587,33.6119156,33.6188,107.819206,33.95127,34.196682,177.336349
normal,23400,996.579956,26935.9336,5769606.905,31.52664,30.7555485,7.12449,15.7825375,53.4940376,45.05976,0.4679593,0.7480316,16.36013,8.257842,6.066312,16.7429581,28.0721684,0.0,7688.21533,7799.601,33.96924,34.48843,33.8390274,175.826874,33.6119156,33.5761223,112.328278,34.000782,34.1661148,185.030884
normal,23700,1002.58392,26935.9336,5769606.905,32.0129128,31.1482372,15.7914171,15.9862137,53.8939171,45.4140968,0.466201037,0.7479449,16.39676,8.564723,6.16981745,17.1053658,28.074667,0.0,7694.306,7806.339,34.0165863,33.6685562,33.8405266,184.069077,33.6294937,33.5761223,116.564781,34.000782,34.1661148,195.148849
normal,24000,994.4739,26935.9336,5769606.905,31.4791336,30.22627,27.5433731,15.4205856,53.1745033,44.5098152,0.468883157,0.747940063,16.594305,8.541461,6.06752729,17.184597,28.4749851,0.0,7697.66064,7812.22266,34.0165863,34.33584,33.8519058,194.156448,33.6294937,33.6022453,121.958916,33.9710464,34.2322769,203.678314
