(Área de Estudo: QUADRIMESTRAL - Estudo: 3º QUADRIMESTRE/2025 - Área de Carga: EC - Responsável: ONSCarga - Situação do Caso: Gerado Oficial  versão 01
DBAR
(Num)OETGb(   nome   )Gl( V)( A)( Pg)( Qg)( Qn)( Qm)(Bc  )( Pl)( Ql)(  Sh)Are(Vf)M(1)(2)(3)(4)(5)(6)(7)(8)(9)(10)
(006 MÉDIA DIA ÚTIL DEZ/2025 ajustado - Agente/Grupo: AC-ENERGISA AC - dez/2025 - Ajuste Hora: 18
 3065M                                                     26.3  9.2
 3070M                                                      6.0 -0.8
 3079M                                                      3.5 -1.2
 3080M                                                     13.4  2.2
 3088M                                                     26.9  5.2
 3091M                                                     17.5  7.3
 3095M                                                     10.6  4.5
 3096M                                                     10.2  2.1
 3402M                                                      3.7  2.0
 3403M                                                     23.5  4.4
 3404M                                                      4.5  0.9
 3405M                                                      2.2  0.8
 3406M                                                      5.4  2.1
 3407M                                                      3.9  1.5
 3408M                                                      4.1  2.6
 3409M                                                      7.3  2.9
40504M                                                      2.8  0.3
45383M                                                     49.1 11.4
45385M                                                      2.4  0.6
45386M                                                     23.7  4.2
46347M                                                      1.3  0.3
47678M                                                      2.2  1.1
47679M                                                      0.4  0.2
47680M                                                      6.7  2.8
47681M                                                      0.9 -0.6
47835M                                                      0.0  0.0
47836M                                                      0.0  0.0
 2609M                           15.0  0.0                          
 2613M                            3.2  0.0                          
 2614M                            6.0  0.0                          
 2615M                            3.5  0.0                          
 2620M                           23.1  0.0                          
 2622M                           20.2  0.0                          
 2624M                           15.4  0.0                          
 2626M                            5.7  0.0                          
 2631M                            5.6  0.0                          
 2632M                            3.9  0.0                          
 2635M                           12.3  0.0                          
 2636M                            8.5  0.0                          
 2638M                           22.9  0.0                          
 2640M                           10.2  0.0                          
 2642M                           10.4  0.0                          
 2644M                            9.8  0.0                          
 2647M                            6.8  0.0                          
 2653M                           37.8  0.0                          
 2658M                           12.2  0.0                          
 2659M                           11.0  0.0                          
 2664M                           29.7  0.0                          
 2665M                            6.6  0.0                          
 2667M                            8.4  0.0                          
 2669M                            6.0  0.0                          
 2670M                            6.5  0.0                          
 2671M                            3.2  0.0                          
 2672M                            9.9  0.0                          
 2673M                           25.8  0.0                          
 2678M                            8.0  0.0                          
 2679M                            2.3  0.0                          
 2681M                            1.4  0.0                          
 2687M                            7.3  0.0                          
 2688M                            9.7  0.0                          
 2689M                            5.9  0.0                          
 2699M                            2.7  0.0                          
 2900M                           18.5  0.0                          
 2902M                           13.2  0.0                          
 2908M                            2.9  0.0                          
 2912M                           11.4  0.0                          
 2913M                            5.1  0.0                          
 2914M                           13.4  0.0                          
 2916M                           10.5  0.0                          
 2920M                            7.2  0.0                          
 2922M                           12.0  0.0                          
 2925M                            5.3  0.0                          
 2927M                            2.8  0.0                          
 3028M                            3.7  0.0                          
 3031M                            6.7  0.0                          
 3065M                            5.5  0.0                          
 3070M                            1.2  0.0                          
 3079M                            2.1  0.0                          
 3080M                            6.9  0.0                          
 3083M                           18.5  0.0                          
 3088M                            8.9  0.0                          
 3093M                           25.0  0.0                          
 3096M                            1.7  0.0                          
 3099M                           11.1  0.0                          
 3402M                            0.5  0.0                          
 3403M                            4.2  0.0                          
 3404M                            1.9  0.0                          
 3407M                            1.2  0.0                          
 3408M                            2.0  0.0                          
 3409M                            2.0  0.0                          
40504M                            0.1  0.0                          
45383M                           16.9  0.0                          
45385M                            0.9  0.0                          
45386M                           10.7  0.0                          
46347M                            0.2  0.0                          
47041M                            0.3  0.0                          
47042M                            2.9  0.0                          
47043M                            2.7  0.0                          
47044M                            1.3  0.0                          
47045M                            0.4  0.0                          
47046M                            6.4  0.0                          
47047M                            0.3  0.0                          
47048M                            0.9  0.0                          
47049M                            3.8  0.0                          
47050M                            0.3  0.0                          
47051M                           26.0  0.0                          
47052M                            2.6  0.0                          
47287M                           19.0  0.0                          
47288M                            0.0  0.0                          
47682M                            0.5  0.0                          
47730M                            0.0  0.0                          
47736M                            0.0  0.0                          
(006 MÉDIA DIA ÚTIL DEZ/2025 ajustado - Agente/Grupo: ES-SANTA MARIA - dez/2025
 2675M                                                     10.9  4.8
 2676M                                                     38.5 15.0
 3015M                                                    117.7 36.6
 2675M                            5.1  0.0                          
 2676M                           19.6  0.0                          
 3015M                           56.2  0.0                          
47212M                            0.0  0.0                          
47213M                            0.2  0.1                          
47214M                            0.2  0.1                          
47718M                            0.0  0.0                          
(006 MÉDIA DIA ÚTIL DEZ/2025 ajustado - Agente/Grupo: GO-CHESP - dez/2025
 7535M                                                     37.9  4.5
 7535M                            6.2  0.0                          
46951M                            2.7  0.4                          
(006 MÉDIA DIA ÚTIL DEZ/2025 ajustado - Agente/Grupo: GO-EQUATORIAL GO - dez/2025
  759M                                                     10.4  2.8
  761M                                                     23.9 11.4
  762M                                                     46.7 13.9
  764M                                                    102.5 46.6
  767M                                                     28.0 12.8
  768M                                                     45.0 22.2
  769M                                                     73.4 23.1
  772M                                                     95.1 38.6
  773M                                                     72.4 39.1
  775M                                                     54.1 21.0
  776M                                                     48.7 16.0
  777M                                                     53.4 26.3
  778M                                                     36.8 17.5
  779M                                                    133.5 52.9
  782M                                                     26.0  8.4
  783M                                                     46.3 15.3
  784M                                                     28.9  8.6
  786M                                                     58.6 25.4
  791M                                                     12.2  2.8
  792M                                                     10.5  4.5
  793M                                                     18.0  7.7
  795M                                                     19.5  6.4
  796M                                                     37.5 17.5
  797M                                                     52.7 25.3
  798M                                                     35.6 18.9
 2930M                                                     28.5 13.7
 2936M                                                     16.2  6.9
 2937M                                                     19.5  7.7
 2938M                                                      8.6  3.3
 2945M                                                      8.7  4.1
 2946M                                                      7.4  3.3
 2948M                                                     28.6 11.2
 2950M                                                     52.9 12.0
 2951M                                                     44.9 10.9
 2954M                                                     35.1 17.5
 2960M                                                     34.4 16.7
 2961M                                                     38.0 19.0
 2966M                                                     32.4 13.5
 2967M                                                     27.7 15.3
 2969M                                                     32.2  7.0
 2974M                                                     29.7 15.0
 2977M                                                     40.8 11.3
 2980M                                                     62.0 11.6
 2983M                                                     36.8  9.4
 2985M                                                     23.0 10.9
 2986M                                                      7.8  3.3
 2989M                                                     21.8  9.3
 2991M                                                     44.3 18.6
 2993M                                                     27.7  6.9
 2995M                                                     38.2 17.0
 2998M                                                      8.5  2.8
 3576M                                                     16.1  5.0
 3635M                                                      5.0  2.1
 3700M                                                     10.4  4.2
 3702M                                                     22.0  5.4
 3703M                                                     55.5 23.6
 3710M                                                     48.5 22.2
 3712M                                                     23.3 13.2
 3715M                                                     54.0 26.2
 3721M                                                     18.0  9.2
 3727M                                                     31.4 15.7
 3729M                                                     23.0  7.1
 3730M                                                      9.3  2.8
 3731M                                                     23.6 13.9
 3733M                                                      7.2  4.3
 3736M                                                      1.4  0.6
 3738M                                                     31.9  7.6
 3742M                                                     28.2 11.8
 3745M                                                     58.5 11.2
 3746M                                                      1.4  0.6
 3754M                                                     14.1  7.0
 3760M                                                     41.4 12.5
 3761M                                                     42.0 17.9
 3762M                                                     11.6  4.7
 3769M                                                     23.0  6.2
 3770M                                                     13.8  5.8
 3773M                                                     42.3 13.3
 3774M                                                     24.1  4.8
 3775M                                                     22.6  8.0
 3776M                                                     23.9  6.5
 3777M                                                     13.6  5.8
 3781M                                                      7.0  3.0
 3787M                                                     13.7  6.3
 3789M                                                      9.3  4.8
 7071M                                                     47.6 16.7
 7075M                                                      2.5  1.1
 7077M                                                      3.1  0.8
 7086M                                                      6.5  0.0
 7088M                                                     22.6  8.6
 7089M                                                      5.8  1.2
 7090M                                                      9.0  3.8
 7091M                                                     48.0 15.5
 7098M                                                      8.2  4.0
 7121M                                                      4.0  2.0
 7739M                                                     12.0  5.1
 7813M                                                     11.4  3.0
 7814M                                                      6.3  2.2
 7815M                                                      8.1  3.2
 7817M                                                     14.3  7.8
40606M                                                      0.0  0.0
40608M                                                      6.9  2.3
40611M                                                     13.6  5.4
48085M                                                      5.6  2.4
  759M                            4.2  0.0                          
  761M                            0.3  0.0                          
  762M                           14.0  0.0                          
  764M                            6.1  0.0                          
  767M                            4.2  0.0                          
  768M                           10.7  0.0                          
  769M                           24.9  0.0                          
  772M                           15.4  0.0                          
  775M                            2.9  0.0                          
  776M                            9.8  0.0                          
  777M                           14.3  0.0                          
  778M                            5.3  0.0                          
  779M                           32.7  0.0                          
  782M                            7.7  0.0                          
  783M                           14.6  0.0                          
  784M                            9.4  0.0                          
  786M                            9.0  0.0                          
  791M                            5.3  0.0                          
  796M                            6.6  0.0                          
  797M                            3.3  0.0                          
  798M                            3.8  0.0                          
 2930M                            3.3  0.0                          
 2938M                            0.8  0.0                          
 2945M                            1.5  0.0                          
 2946M                            0.6  0.0                          
 2947M                           20.4  0.0                          
 2948M                            4.1  0.0                          
