role,offset_seconds,LIT_802,LIT_806,PDIT_830,PIC_807_IN,TE_820,TE_830,TE_831,TE_832,TE_833,TE_834,TE_835,TIT_806,TIT_809,VT_812X,VT_812Y,VT_813X,VT_813Y,VT_814X,VT_814Y,VT_815X,VT_815Y,VT_830,VT_831,XT_829,ZT_827,ZT_828
normal,3000.0,30.5576649,45.2528152,2.97495937,0.199764833,34.9971,39.9960327,39.9960327,39.9960327,39.9960327,38.9980774,39.9960327,26.0844345,26.1711655,0.818492651,0.723288655,0.724311,0.5320444,0.724311,0.724311,1.20760357,1.25888848,0.07863919,0.07863919,0.0,-0.288427979,-0.148350477
normal,3300.0,30.4678211,45.2253876,2.972285,0.196753919,34.9971,39.9960327,39.9960327,39.9960327,39.9960327,38.9980774,39.9960327,26.09883,26.12058,0.7736442,0.6776727,0.7736442,0.5310221,0.7234666,0.7734663,1.162917,1.25888848,0.09710116,0.09710116,0.0,-0.288430452,-0.148594618
normal,3600.0,30.7560749,45.0219269,2.96760559,0.202511,35.9996338,40.9951248,39.9960327,40.9985657,40.9985657,38.9980774,39.9960327,26.0916214,26.06992,0.7736442,0.6776681,0.8192648,0.5310221,0.7736442,0.7736442,1.20853293,1.20870578,0.115970336,0.09702726,0.0,-0.288796663,-0.14810802
normal,3900.0,30.4683437,45.223732,3.03411245,0.1967854,35.9996338,40.9985657,40.9985657,40.9985657,40.9985657,39.9960327,40.9985657,26.0915833,26.0192871,0.7736442,0.7231226,0.7734615,0.5310221,0.7736442,0.819255948,1.20836687,1.25870585,0.134906009,0.13497521,0.0,-0.288980216,-0.149143264
normal,4200.0,30.3238716,45.0234756,3.01712275,0.193891421,35.9996338,40.9985657,40.9985657,40.9985657,40.9985657,39.9960327,40.9985657,26.0879784,25.9686241,0.7736442,0.7733015,0.7736442,0.5813776,0.7738074,0.819422,1.16291845,1.20871246,0.1546747,0.1349084,0.0,-0.28934598,-0.1495102
normal,4500.0,30.72709,45.22447,3.00376678,0.2025217,35.9996338,40.9985657,40.9985657,40.9985657,41.9932251,39.9960327,40.9985657,26.0879784,25.91078,0.7736442,0.6775109,0.7734779,0.5310221,0.723454952,0.7736442,1.16275525,1.25872219,0.135109916,0.154881433,0.0,-0.289284527,-0.1495102
normal,4800.0,30.2388668,44.99478,2.99473023,0.202519774,36.99759,40.9985657,40.9985657,41.99652,41.99652,40.9985657,40.9985657,26.0879917,25.8528862,0.81925565,0.723288655,0.7736442,0.581194639,0.723288655,0.81925565,1.20853293,1.25888848,0.077411324,0.097176276,0.0,-0.289102048,-0.15024285
normal,5100.0,30.3813076,44.8221931,2.99036336,0.1938792,36.99759,41.99652,41.99652,41.99652,41.99652,40.9985657,40.9985657,26.09162,25.7950172,0.7736442,0.677659035,0.723288655,0.5813776,0.7736442,0.7736442,1.16290331,1.25872552,0.09720978,0.09720978,0.0,-0.2890408,-0.149998888
normal,5400.0,30.325346,45.2215347,2.98313141,0.193902373,36.99759,41.99652,41.99652,41.99652,41.99652,40.9985657,41.99652,26.10601,25.7301254,0.7736442,0.6781739,0.7240179,0.580648363,0.7240179,0.7736442,1.16341817,1.25888848,0.115694106,0.13449195,0.0,-0.2888586,-0.149265125
normal,5700.0,30.35859,45.0214348,2.97443175,0.193909734,36.99759,41.99652,41.99652,41.99652,41.99652,40.9985657,41.99652,26.084486,25.6937485,0.7736442,0.723288655,0.724145949,0.580520332,0.7736442,0.7736442,1.20853293,1.25888848,0.116632767,0.097883426,0.0,-0.2887977,-0.149814337
normal,6000.0,30.5862923,45.0249939,3.03583765,0.1911424,37.9955444,41.99652,41.99652,41.99652,42.9990578,41.9814,41.99652,26.0991573,25.6431122,0.774337769,0.6775109,0.772881269,0.579851747,0.819422,0.819422,1.16275525,1.25888848,0.07764878,0.09718526,0.0,-0.2889178,-0.149996638
normal,6300.0,30.3549557,45.2147751,3.01762581,0.196684688,37.9955444,42.9990578,42.9990578,42.9990578,42.9990578,41.99652,41.99652,26.1244068,25.59971,0.7736442,0.7221933,0.7736442,0.532227,0.723288655,0.7736442,1.20853293,1.25888848,0.17211163,0.191930413,0.0,-0.289162874,-0.150730908
normal,6600.0,30.3821373,44.9938965,3.008789,0.1967765,37.9955444,42.9990578,42.9990578,42.9990578,42.9990578,41.99652,42.9990578,26.1386433,25.5563087,0.7736442,0.6775109,0.723288655,0.5310221,0.7734477,0.7736442,1.16275525,1.25888848,0.17365481,0.173729241,0.0,-0.28952837,-0.1495102
normal,6900.0,30.3521862,44.8210449,2.99221,0.199635491,37.9955444,42.9990578,42.9990578,42.9990578,42.9990578,41.99652,42.9990578,26.1747379,25.5201721,0.7736442,0.6776986,0.723288655,0.5310221,0.7736442,0.7736442,1.16275525,1.2087394,0.1158108,0.134806663,0.0,-0.289834023,-0.150853723
normal,7200.0,30.6984234,44.82109,2.9899888,0.193884835,38.9980774,42.9990578,42.9990578,42.9990578,43.99701,41.99652,42.9990578,26.20007,25.4912071,0.7736442,0.6775109,0.7235007,0.531234145,0.7736442,0.7736442,1.162948,1.30447352,0.09697659,0.115970336,0.0,-0.289833754,-0.1515852
normal,7500.0,30.6702843,44.9929924,2.97986913,0.199665487,38.9980774,43.99701,42.9990578,43.99701,43.99701,42.9990578,42.9990578,26.2290344,25.4622726,0.8192786,0.723288655,0.7234464,0.531179845,0.723288655,0.7736442,1.16275525,1.25888848,0.0970158,0.116030104,0.0,-0.289773226,-0.151951671
normal,7800.0,30.4684448,44.8205,2.97589922,0.196753919,38.9980774,43.99701,43.99701,43.99701,43.99701,42.9990578,43.99701,26.2506981,25.43332,0.7736442,0.6776285,0.723418,0.5310221,0.8191751,0.7737618,1.20853293,1.20866227,0.09709418,0.09714513,0.0,-0.289651,-0.152073741
normal,8100.0,30.7565041,45.4542,2.97410965,0.199636459,38.9980774,43.99701,43.99701,43.99701,43.99701,42.9990578,43.99701,26.2652149,25.4188442,0.819611669,0.7736442,0.7736442,0.531211734,1.25888848,0.8192496,1.16275525,1.25888848,0.09718654,0.116188757,0.0,-0.2894685,-0.150486767
normal,8400.0,30.41081,44.9930878,2.970141,0.202512443,39.9960327,43.99701,43.99701,43.99701,43.99701,42.9990578,43.99701,26.3086147,25.4116135,0.819422,0.819272459,0.677825,0.5812131,1.25888848,0.819272459,1.20853293,1.25888848,0.116159774,0.116159774,0.0,-0.289102048,-0.149022058
normal,8700.0,30.4923973,45.47982,2.97403884,0.1939497,39.9960327,43.99701,43.99701,43.99701,43.99701,42.9990578,43.99701,26.3518944,25.37547,0.819422,0.7736442,0.7238063,0.531539738,1.20853293,0.7736442,1.20853293,1.25935912,0.116370343,0.135248333,0.0,-0.288796037,-0.148838758
normal,9000.0,30.3262234,45.0227928,2.97657228,0.193897635,39.9960327,43.99701,43.99701,43.99701,43.99701,42.9990578,43.99701,26.398962,25.35383,0.819422,0.7736442,0.7734287,0.5811621,1.25888848,0.819422,1.20874846,1.258673,0.134881109,0.154714867,0.0,-0.288492024,-0.148411512
normal,9300.0,30.1507435,44.993084,2.966861,0.199647352,39.9960327,43.99701,43.99701,43.99701,43.99701,42.9990578,43.99701,26.43161,25.3465347,0.819422,0.7736442,0.7736442,0.5812182,1.20869243,0.7736442,1.16275525,1.20853293,0.154758215,0.154818609,0.0,-0.288430452,-0.148411512
normal,9600.0,30.2958431,45.0219269,2.96506214,0.199636459,39.9960327,43.99701,43.99701,43.99701,43.99701,42.9990578,43.99701,26.4714279,25.3393021,0.8196116,0.8192497,0.723478258,0.5310221,1.25888848,0.8192497,1.20853293,1.20853293,0.09696808,0.097039886,0.0,-0.2881863,-0.1482284
normal,9900.0,30.52555,44.99396,2.97045064,0.196778163,39.9960327,43.99701,43.99701,43.99701,43.99701,42.9990578,43.99701,26.4966774,25.3320675,0.819230258,0.7732416,0.7734333,0.5813776,1.2566452,0.7736442,1.20853293,1.25888848,0.09713913,0.11613331,0.0,-0.288125277,-0.148045555
normal,10200.0,30.5547276,44.9950829,2.96652555,0.20538193,39.9960327,43.99701,43.99701,43.99701,44.9995422,42.9990578,43.99701,26.5327473,25.3176,0.819877148,0.81855315,0.773189068,0.5809225,1.20679522,0.7736442,1.16275525,1.25888848,0.173431411,0.173431411,0.0,-0.2879421,-0.148897588
normal,10500.0,30.4968586,45.48415,2.97086287,0.202516466,40.9985657,43.99701,43.99701,43.99701,44.9995422,42.9990578,43.99701,26.579895,25.3103676,0.869636357,0.773772538,0.773503065,0.5310221,1.304538,0.773772538,1.16288352,1.25874734,0.115970336,0.135044411,0.0,-0.287636757,-0.147861689
normal,10800.0,30.5819664,45.2222061,2.970155,0.205377683,40.9985657,43.99701,43.99701,43.99701,44.9995422,43.99701,43.99701,26.62316,25.3103676,0.8199141,0.7736442,0.7736442,0.531514168,1.209025,0.7736442,1.16275525,1.30372679,0.09746293,0.1163506,0.0,-0.2872103,-0.148654461
normal,11100.0,30.52491,45.22447,2.980191,0.193910986,40.9985657,43.99701,43.99701,43.99701,44.9995422,43.99701,43.99701,26.6522465,25.303133,0.869557738,0.819422,0.773424447,0.581157863,1.25888848,0.773844,1.20833313,1.25866866,0.115887083,0.1348779,0.0,-0.2868432,-0.148350477
normal,11400.0,30.6119938,45.2262726,2.97087955,0.205353975,40.9985657,43.99701,43.99701,43.99701,44.9995422,43.99701,43.99701,26.699194,25.303133,0.7739616,0.6778283,0.723288655,0.5310221,0.818755448,0.818755448,1.16307271,1.25888848,0.09716079,0.09716079,0.0,-0.2863552,-0.147984684
normal,11700.0,30.5568485,45.4753342,2.97812986,0.196965992,40.9985657,43.99701,43.99701,43.99701,44.9995422,43.99701,43.99701,26.7457066,25.2819633,0.7736442,0.723288655,0.725134,0.532867432,0.7736442,0.7736442,1.20853293,1.25888848,0.1534555,0.15415448,0.0,-0.285871327,-0.1480453
normal,12000.0,30.6689072,44.99455,2.97265363,0.196753919,40.9985657,43.99701,43.99701,43.99701,44.9995422,43.99701,43.99701,26.7787876,25.2814331,0.7234481,0.6776559,0.773484766,0.5310221,0.7736442,0.7736442,1.16275525,1.20869243,0.173832282,0.154758215,0.0,-0.285683572,-0.1480453
normal,12300.0,30.7278557,45.22313,2.963274,0.205405578,40.9985657,44.9995422,43.99701,44.00032,44.9995422,43.99701,43.99701,26.80777,25.2742233,0.773795366,0.6776621,0.723288655,0.5812114,0.8191046,0.773795366,1.16275525,1.25872219,0.097150706,0.097150706,0.0,-0.285317749,-0.14792344
normal,12600.0,30.064249,45.4841347,2.970824,0.20256564,40.9985657,44.9995422,43.99701,44.9995422,44.9995422,43.99701,43.99701,26.8583355,25.2741985,0.819291055,0.723288655,0.773500144,0.531297147,0.7736442,0.7736442,1.16275525,1.25901949,0.116024911,0.134989843,0.0,-0.285012722,-0.1478622
normal,12900.0,31.01637,45.22447,2.97481537,0.196764812,40.9985657,44.9995422,43.99701,44.9995422,44.9995422,43.99701,43.99701,26.880003,25.2669659,0.7736442,0.6775109,0.723288655,0.5310221,0.723478258,0.7734546,1.16275525,1.20872247,0.115970336,0.116042145,0.0,-0.284890056,-0.1478622
normal,13200.0,30.95996,45.22447,2.97444,0.196784422,40.9985657,44.9995422,43.99701,44.9995422,44.9995422,43.99701,43.99701,26.92344,25.2524986,0.7736442,0.677631557,0.7736442,0.5813776,0.7735115,0.7736442,1.16275525,1.2587558,0.135044411,0.154829159,0.0,-0.284463048,-0.147435218
normal,13500.0,31.1042023,45.4840469,2.97731042,0.196790934,40.9985657,44.9995422,43.99701,44.9995422,44.9995422,43.99701,43.99701,26.9632,25.2524986,0.7736442,0.6776573,0.773483157,0.5812166,0.7234497,0.7736442,1.16275525,1.20853293,0.1349224,0.115909331,0.0,-0.283852845,-0.14743489
normal,13800.0,30.7871189,45.6839027,2.95930767,0.214068681,41.9912453,44.9995422,43.99701,44.9995422,44.9995422,43.99701,43.99701,27.0175152,25.25246,0.7738862,0.6777529,0.7736442,0.531288266,0.7749268,0.81918,1.162489,1.25888848,0.09709793,0.09720279,0.0,-0.283486754,-0.14719075
normal,14100.0,31.0184,45.4856,2.963256,0.214104235,41.99652,44.9995422,43.99701,44.9995422,44.9995422,43.99701,43.99701,27.0933456,25.2524986,0.7736442,0.6776742,0.723288655,0.531201661,0.723468244,0.819258749,1.20836961,1.25870883,0.135115162,0.135115162,0.0,-0.282876283,-0.146702692
normal,14400.0,30.8731289,45.68655,2.981311,0.1996722,41.99652,44.9995422,43.99701,44.9995422,44.9995422,43.99701,43.99701,27.14767,25.2669659,0.8695612,0.819422,0.7736442,0.5310221,1.25888848,0.8192254,1.16275525,1.25888848,0.173624471,0.1737064,0.0,-0.282144368,-0.146214187
normal,14700.0,31.1328411,45.4856834,2.97628617,0.205411285,41.99652,44.9995422,43.99701,44.9995422,44.9995422,43.99701,43.99701,27.2091713,25.2741985,0.819422,0.819240451,0.72367,0.5811779,1.25868869,0.7736442,1.16275525,1.20873272,0.115894675,0.135044411,0.0,-0.281716347,-0.145848215
